aX,aY,aZ,gX,gY,gZ
-0.142,-0.037,1.011,-8.667,-3.845,-0.122
-0.142,-0.036,1.005,-6.897,-4.150,0.427
-0.143,-0.042,1.047,-6.470,-4.761,0.671
-0.143,-0.020,1.063,-5.188,-4.761,1.648
-0.145,-0.018,1.065,-0.061,-3.662,0.427
-0.143,-0.018,1.045,2.625,-2.380,-0.244
-0.143,-0.015,1.085,1.709,-2.258,-0.854
-0.134,-0.029,1.036,1.160,-0.183,-1.221
-0.150,-0.010,1.041,-0.854,0.366,-1.587
-0.134,-0.052,1.001,-2.380,0.427,-2.197
-0.126,-0.034,0.980,-2.930,0.305,-0.671
-0.140,-0.036,0.976,-0.183,-1.038,-0.366
-0.142,-0.029,0.974,3.967,-2.747,-0.366
-0.148,-0.014,0.953,5.127,-2.869,0.854
-0.162,-0.027,1.016,3.906,-5.249,0.000
-0.158,-0.019,1.034,1.038,-6.287,0.000
-0.154,-0.024,1.073,-3.479,-5.554,0.122
-0.152,-0.027,1.082,-3.845,-4.333,0.000
-0.147,-0.029,1.084,-3.662,-2.075,-0.427
-0.145,-0.030,1.071,-1.953,-0.305,-0.671
-0.150,-0.025,1.047,1.404,1.221,-0.916
-0.151,-0.024,0.999,4.089,2.136,-1.099
-0.144,-0.023,1.000,4.761,1.099,-1.343
-0.156,-0.033,1.010,5.859,-0.488,-1.587
-0.146,-0.024,1.001,9.094,-0.854,-1.160
-0.151,-0.021,0.983,11.353,-1.404,-1.526
-0.155,-0.028,0.999,9.094,-2.930,-1.953
-0.156,-0.036,1.025,4.639,-3.723,-1.709
-0.156,-0.025,1.052,1.953,-3.723,-0.549
-0.152,-0.021,1.084,0.916,-3.540,-0.427
-0.158,-0.003,1.098,0.671,-2.441,-0.793
-0.153,-0.017,1.100,0.305,-1.099,-1.770
-0.154,-0.002,1.081,1.099,0.366,-2.686
-0.148,-0.018,1.026,3.052,2.502,-3.357
-0.147,-0.017,0.987,3.113,3.052,-3.784
-0.147,-0.033,0.990,1.343,1.831,-3.662
-0.144,-0.027,0.977,2.075,0.427,-3.052
-0.143,-0.031,0.978,1.465,-1.465,-2.930
-0.139,-0.037,1.021,1.892,-3.479,-2.747
-0.133,-0.049,1.030,3.601,-3.296,-2.075
-0.139,-0.032,1.043,4.150,-2.930,-1.343
-0.145,-0.030,1.073,4.517,-2.625,-1.038
-0.139,-0.027,1.084,4.089,-1.526,-1.038
-0.132,-0.041,1.082,3.967,0.305,-1.587
-0.129,-0.047,1.059,6.287,2.380,-1.831
-0.140,-0.027,0.985,11.292,4.883,-1.038
-0.144,-0.036,0.944,12.329,4.578,-1.465
-0.143,-0.030,0.935,9.949,1.465,-1.648
-0.137,-0.041,0.964,5.859,-1.770,-1.709
-0.143,-0.037,1.005,3.906,-4.150,-1.709
-0.135,-0.039,1.008,2.686,-4.272,-0.977
-0.133,-0.043,1.025,2.014,-4.272,-0.977
-0.142,-0.032,1.036,0.244,-4.211,-0.671
-0.146,-0.017,1.045,-1.770,-3.906,-0.854
-0.144,-0.027,1.070,-3.662,-3.723,-1.953
-0.151,-0.022,1.060,-5.005,-2.380,-2.258
-0.149,-0.033,1.057,-4.822,-0.610,-2.625
-0.145,-0.041,1.018,-0.916,0.732,-3.357

-0.209,0.221,2.343,21.118,-117.310,43.213
