aX,aY,aZ,gX,gY,gZ
-0.045,-0.141,1.037,25.208,-2.686,4.700
-0.056,-0.153,1.043,31.982,-2.014,6.836
-0.051,-0.114,1.064,39.551,-1.770,11.597
-0.047,-0.085,1.062,48.462,-0.977,13.489
-0.033,-0.105,1.031,54.443,1.282,11.963
-0.037,-0.127,1.001,54.626,3.296,10.620
-0.046,-0.125,1.004,54.321,3.174,10.864
-0.045,-0.131,1.003,52.307,2.869,10.315
-0.039,-0.130,1.018,45.227,3.357,8.118
-0.043,-0.173,1.034,40.527,4.211,4.883
-0.042,-0.236,1.006,42.053,5.615,2.808
-0.043,-0.228,0.999,41.138,6.042,4.700
-0.022,-0.175,1.028,40.466,4.639,7.324
-0.031,-0.169,0.995,43.762,3.113,6.042
-0.034,-0.169,0.991,36.926,3.235,3.479
-0.038,-0.222,1.001,37.354,1.526,0.000
-0.055,-0.274,1.007,46.448,-0.549,-1.831
-0.052,-0.254,1.050,54.871,-1.221,0.549

-0.471,-1.564,0.786,-6.470,-60.242,171.814
-0.366,-1.022,1.080,34.668,-93.872,242.310
-0.201,-0.374,1.248,60.242,-109.314,297.607
-0.040,0.128,1.444,55.786,-92.529,316.284
-0.146,0.059,1.270,23.987,-58.044,310.303
-0.250,-0.026,0.986,4.456,-17.822,291.504
-0.225,0.369,0.903,-20.630,-10.925,291.260
-0.238,0.617,0.843,-51.392,-11.108,274.231
-0.329,0.458,0.874,-39.856,-21.484,221.375
-0.305,0.287,0.888,-30.273,-34.363,170.959
-0.273,0.226,0.993,-23.865,-53.101,145.630
-0.269,0.015,1.102,-23.682,-64.880,120.789
-0.197,-0.049,1.267,-26.306,-64.941,106.384
-0.152,0.045,1.215,-15.686,-51.819,101.868
-0.123,0.040,1.246,-11.780,-40.039,90.149
-0.106,0.032,1.120,-13.733,-23.010,79.163
-0.088,0.064,1.048,-20.264,-10.925,69.336
-0.081,0.068,1.001,-18.494,-5.493,56.152
-0.069,0.069,0.961,-11.475,-4.395,42.847
-0.047,0.096,0.935,-13.733,-4.822,30.640
-0.021,0.184,1.042,-14.038,-9.460,18.677
-0.039,0.130,1.079,1.648,-12.634,1.587
-0.067,-0.010,1.051,7.935,-8.545,-15.808
-0.083,-0.074,1.074,6.531,-5.310,-26.672
-0.082,-0.115,1.055,5.310,-1.404,-33.447
-0.101,-0.194,1.031,1.892,1.709,-38.452
-0.087,-0.238,1.036,-5.127,2.869,-39.429
-0.101,-0.310,1.027,-11.047,2.625,-38.635
-0.105,-0.370,0.998,-17.517,4.761,-35.156
-0.093,-0.331,1.023,-20.142,3.357,-27.161
-0.089,-0.304,1.021,-18.127,2.380,-20.264
-0.104,-0.259,0.978,-13.916,2.930,-13.855
-0.103,-0.197,0.984,-10.010,1.038,-8.667
-0.103,-0.132,1.005,-6.531,-1.709,-6.409
-0.109,-0.117,1.008,-4.578,-1.892,-7.446
-0.116,-0.133,1.019,-4.272,-1.709,-9.521
-0.126,-0.153,1.040,-4.028,-2.014,-11.292
-0.130,-0.160,1.041,-2.380,-1.160,-12.451
-0.143,-0.214,1.028,-1.892,0.305,-13.184
-0.130,-0.271,1.030,-4.761,1.221,-12.451
-0.107,-0.277,1.062,-7.141,0.488,-8.301
-0.088,-0.255,1.076,-8.240,1.099,-3.662
-0.087,-0.230,1.055,-8.972,3.662,0.793
-0.079,-0.190,1.040,-8.728,5.127,4.395
-0.083,-0.162,1.011,-6.531,5.554,6.775
-0.087,-0.128,1.000,-4.211,4.761,7.629
-0.095,-0.093,0.988,-2.991,3.174,6.897
-0.097,-0.073,0.976,-2.319,1.709,4.211
-0.100,-0.081,1.004,-1.648,-1.221,0.427
-0.105,-0.141,1.036,-2.014,-2.380,-2.869
-0.095,-0.188,1.066,-3.784,-1.343,-4.089
-0.084,-0.180,1.073,-5.249,0.183,-2.930
-0.088,-0.209,1.041,-6.592,2.869,-1.770
-0.078,-0.215,1.010,-7.690,5.127,0.427
-0.061,-0.178,1.000,-6.714,5.005,4.395
-0.071,-0.169,1.028,-6.165,3.906,6.958
-0.063,-0.140,1.058,-7.080,3.418,8.118
-0.067,-0.138,1.025,-7.324,5.615,8.850
-0.077,-0.141,1.007,-6.958,6.653,8.728
-0.084,-0.117,0.991,-5.676,5.798,9.033
-0.081,-0.086,0.990,-3.784,4.211,8.484
-0.086,-0.108,0.983,-1.587,2.563,6.592
-0.081,-0.170,0.986,-1.404,1.343,4.822
-0.074,-0.155,1.011,-1.282,-0.122,5.920
-0.064,-0.141,1.034,-0.183,-1.282,7.446
-0.068,-0.175,1.030,-0.793,-0.916,7.812
-0.068,-0.209,1.028,-2.380,0.061,9.155
-0.063,-0.190,1.036,-3.113,0.488,12.451
-0.060,-0.179,1.042,-2.686,1.038,15.259
-0.062,-0.149,1.044,-2.380,1.648,17.334
-0.068,-0.110,1.020,-1.343,3.052,18.494
-0.084,-0.084,1.001,-0.183,3.601,18.250
-0.090,-0.076,0.997,-0.732,3.235,16.663
-0.089,-0.100,1.005,-1.587,2.075,14.282
-0.090,-0.117,1.004,-0.977,1.160,12.268
-0.089,-0.122,1.013,0.610,0.671,11.597
-0.081,-0.136,1.047,1.099,0.122,11.169
-0.063,-0.118,1.038,0.610,1.343,11.719
-0.051,-0.121,1.010,0.244,2.441,11.230
-0.051,-0.131,1.001,0.305,1.770,10.559
-0.056,-0.140,1.008,0.305,0.061,10.071
-0.063,-0.123,1.024,0.854,-1.343,9.705
-0.073,-0.091,1.016,2.563,-1.343,9.216
-0.090,-0.105,1.015,4.211,-1.648,7.507
-0.103,-0.154,1.025,3.357,-1.831,5.859
-0.087,-0.158,1.023,1.587,-1.282,6.348
-0.074,-0.138,1.009,2.075,-1.465,7.324
-0.069,-0.123,1.007,3.357,-2.258,7.690
-0.078,-0.130,1.022,3.601,-2.930,7.507
-0.067,-0.139,1.019,3.357,-2.197,6.958
