aX,aY,aZ,gX,gY,gZ
0.019,-0.774,0.608,2.625,-6.226,4.395
0.017,-0.799,0.624,3.174,-8.484,1.038
0.010,-0.803,0.644,4.089,-9.949,0.061
0.003,-0.802,0.657,4.028,-9.460,0.366
-0.005,-0.810,0.659,4.639,-7.507,-0.122
-0.014,-0.832,0.661,5.066,-5.859,-0.793
-0.010,-0.848,0.656,4.639,-4.395,-0.671
0.001,-0.851,0.648,3.906,-2.991,0.427
0.010,-0.832,0.639,2.869,-1.465,2.747
0.022,-0.813,0.636,0.977,-0.977,3.784
0.031,-0.812,0.636,1.160,-1.343,3.296
0.034,-0.813,0.629,1.892,-1.465,3.052
0.033,-0.813,0.631,1.831,-1.709,3.540
0.028,-0.803,0.634,2.441,-2.014,4.456
0.024,-0.795,0.639,3.479,-1.953,4.944
0.022,-0.789,0.634,4.578,-1.526,4.639
0.020,-0.791,0.638,3.601,-1.099,3.845
0.026,-0.798,0.638,2.502,-0.671,3.052
0.036,-0.815,0.628,3.418,0.000,2.625
0.043,-0.818,0.630,3.235,0.000,3.601
0.048,-0.806,0.625,3.296,-0.122,4.761
0.050,-0.800,0.623,3.784,-1.160,4.700
0.050,-0.819,0.635,2.747,-2.136,3.784
0.048,-0.852,0.632,2.625,-2.319,3.418
0.050,-0.851,0.634,3.906,-1.953,5.554
0.053,-0.826,0.638,3.052,-2.136,9.033
0.055,-0.813,0.639,2.563,-2.136,10.193
0.044,-0.822,0.633,4.944,-2.686,9.399
0.032,-0.829,0.636,6.836,-3.784,8.484
0.021,-0.838,0.653,6.592,-4.517,7.507
0.013,-0.838,0.667,5.127,-4.639,7.019
0.011,-0.834,0.663,2.930,-3.784,7.080
0.013,-0.840,0.647,1.099,-2.380,6.348
0.019,-0.853,0.638,-1.770,-1.770,5.310
0.024,-0.861,0.642,-4.517,-2.319,5.432
0.023,-0.863,0.652,-5.432,-2.136,7.080
0.028,-0.844,0.660,-7.141,-0.977,10.193
0.035,-0.808,0.647,-8.972,1.526,13.733
0.042,-0.788,0.644,-11.353,3.418,15.869
0.042,-0.778,0.646,-14.709,4.333,16.724
0.041,-0.783,0.649,-19.470,5.371,17.395
0.046,-0.788,0.659,-25.024,7.324,18.738
0.053,-0.790,0.659,-26.428,8.667,19.348
0.068,-0.810,0.643,-25.757,9.277,18.738
0.066,-0.847,0.650,-33.508,8.728,17.883
0.058,-0.861,0.713,-51.331,7.996,19.958
0.058,-0.863,0.754,-73.059,11.169,25.269
0.066,-0.803,0.719,-89.722,19.531,31.250
0.076,-0.762,0.702,-95.032,23.254,32.715
0.076,-0.732,0.732,-99.121,21.545,29.541
0.086,-0.712,0.737,-96.191,19.592,24.841
0.094,-0.698,0.750,-86.609,18.005,19.531
0.092,-0.675,0.711,-74.036,16.907,15.747
0.093,-0.655,0.708,-65.918,14.526,12.207
0.101,-0.639,0.738,-60.730,11.047,8.423
0.104,-0.643,0.720,-53.711,10.498,4.456
0.121,-0.658,0.721,-45.288,8.667,1.343
0.131,-0.674,0.715,-41.809,6.348,0.916
0.128,-0.695,0.730,-44.189,4.211,1.648
0.120,-0.700,0.762,-41.138,1.648,2.930
0.114,-0.665,0.765,-32.898,0.610,6.165
0.114,-0.647,0.773,-24.719,-0.122,8.423
0.103,-0.640,0.788,-18.494,0.122,8.911

-1.035,-1.124,1.815,225.220,-223.389,-57.007
-1.433,-1.412,2.378,187.805,-173.950,-28.137
-0.498,-0.724,2.415,181.030,-122.803,11.536
-0.163,-1.182,2.024,131.226,-12.207,-33.081
-0.412,-1.798,1.739,57.129,40.039,-64.331
-0.290,-1.332,1.787,17.517,44.800,-30.396
-0.150,-0.955,1.744,-4.761,43.640,-3.113
-0.308,-0.956,1.560,-29.297,60.242,-2.808
-0.380,-0.866,1.575,-32.532,61.157,5.188
-0.324,-0.733,1.623,-42.053,65.979,12.085
-0.309,-0.764,1.512,-57.922,87.097,7.263
-0.276,-0.785,1.424,-70.007,106.567,7.507
-0.208,-0.734,1.331,-77.148,121.460,14.771
-0.137,-0.694,1.204,-83.496,133.545,21.851
-0.085,-0.636,1.092,-86.914,139.771,28.748
-0.053,-0.533,0.984,-86.304,139.404,35.828
-0.038,-0.436,0.839,-82.397,135.559,39.612
-0.020,-0.322,0.750,-77.393,125.427,39.856
0.003,-0.258,0.728,-72.876,110.779,35.889
0.007,-0.261,0.785,-67.810,94.788,28.137
0.015,-0.308,0.860,-62.927,82.458,20.691
0.029,-0.360,0.906,-61.096,74.890,16.296
0.042,-0.376,0.948,-59.753,69.092,14.709
0.054,-0.347,0.959,-56.030,64.270,15.930
0.066,-0.321,0.941,-51.819,60.303,16.479
0.070,-0.316,0.935,-47.974,55.481,15.564
0.069,-0.308,0.916,-44.250,51.880,14.709
0.077,-0.283,0.897,-41.199,47.913,14.099
0.085,-0.276,0.913,-38.452,43.335,12.329
0.086,-0.268,0.923,-35.278,39.063,10.193
0.086,-0.271,0.927,-32.227,36.377,7.751
0.096,-0.275,0.932,-29.541,34.607,6.165
0.111,-0.272,0.925,-28.259,34.424,5.371
0.133,-0.268,0.936,-29.114,34.363,4.944
0.144,-0.283,0.934,-29.846,33.264,3.479
0.141,-0.291,0.950,-30.396,31.616,2.747
0.140,-0.295,0.964,-29.724,30.884,2.869
0.140,-0.290,0.940,-27.832,32.410,3.906
0.143,-0.271,0.915,-25.452,33.325,5.066
0.157,-0.260,0.892,-23.193,33.081,5.920
0.169,-0.256,0.872,-22.278,31.921,5.737
0.186,-0.235,0.873,-20.935,28.503,6.348
0.201,-0.219,0.859,-19.043,25.391,5.859
0.204,-0.218,0.875,-17.395,21.545,4.883
0.206,-0.205,0.885,-14.954,18.494,4.395
0.212,-0.198,0.897,-11.169,16.968,3.845
0.225,-0.202,0.888,-8.972,16.418,3.113
