aX,aY,aZ,gX,gY,gZ
-0.016,-0.330,0.985,0.732,-2.319,1.160
-0.011,-0.340,0.970,0.916,-1.770,1.160
-0.011,-0.331,0.974,1.099,-1.892,1.099
-0.008,-0.343,0.975,0.671,-2.380,1.282
-0.005,-0.344,0.970,0.916,-2.747,1.648
-0.009,-0.335,0.988,1.831,-3.174,2.075
-0.019,-0.344,0.986,2.014,-3.296,2.502
-0.019,-0.339,0.993,2.197,-2.563,2.258
-0.020,-0.337,0.991,1.709,-2.319,2.380
-0.020,-0.339,0.974,1.038,-0.977,2.319
-0.014,-0.339,0.961,0.549,-0.427,2.014
-0.014,-0.322,0.970,0.366,-1.099,2.136
-0.016,-0.319,0.976,1.221,-2.014,2.014
-0.017,-0.321,0.978,2.258,-2.136,1.648
-0.017,-0.329,0.984,3.113,-2.136,1.038
-0.013,-0.357,0.981,4.272,-2.319,0.549
-0.012,-0.354,0.984,3.845,-2.319,0.732
-0.010,-0.352,0.992,2.441,-2.014,1.465
-0.011,-0.338,0.984,2.014,-1.465,2.014
-0.010,-0.335,0.984,2.625,-1.221,1.953
-0.012,-0.346,0.972,2.502,-1.282,1.831
-0.015,-0.349,0.973,2.563,-1.587,1.404
-0.010,-0.372,0.982,1.953,-2.625,1.587
-0.010,-0.362,0.997,1.099,-2.808,2.747
-0.016,-0.347,0.999,1.343,-2.258,3.967
-0.021,-0.338,0.990,1.282,-1.648,4.456
-0.025,-0.336,0.986,2.319,-1.526,3.418
-0.027,-0.316,0.977,3.174,-1.709,2.930
-0.025,-0.333,0.980,2.502,-1.648,1.648
-0.021,-0.350,0.968,2.808,-1.465,0.244
-0.020,-0.341,0.985,2.930,-1.770,0.610
-0.020,-0.336,0.981,3.357,-1.526,0.488
-0.017,-0.344,0.972,3.235,-1.099,0.061
-0.015,-0.349,0.984,2.686,-1.648,-0.061

-0.312,-1.678,1.205,23.621,-60.242,-226.257
-0.317,-1.595,1.554,28.870,-62.439,-164.062
-0.295,-1.308,1.550,30.823,-36.621,-99.609
-0.231,-0.991,1.269,35.461,-0.549,-46.204
-0.142,-0.804,0.941,36.438,23.071,-12.573
-0.071,-0.719,0.668,37.109,26.611,7.935
-0.042,-0.707,0.507,36.072,14.709,24.658
-0.034,-0.859,0.453,28.442,-3.601,41.138
-0.086,-1.080,0.432,7.874,-16.785,67.444
-0.180,-1.231,0.550,-6.775,-35.461,104.736
-0.326,-1.345,0.617,-16.602,-54.016,149.109
-0.572,-1.581,0.688,-36.133,-63.782,196.777
-0.901,-1.981,0.789,-66.101,-67.322,257.874
-1.173,-1.424,0.752,-67.200,-72.571,356.567
-1.186,-0.606,0.591,-48.523,-89.478,437.195
-1.036,0.076,0.727,-46.753,-112.305,456.970
-0.546,0.809,1.810,5.737,-140.625,432.678
-0.286,0.595,1.784,35.522,-104.370,350.098
-0.277,0.120,0.763,13.672,-26.917,260.986
-0.145,-0.084,0.803,-23.193,-24.902,222.290
0.032,0.139,1.007,-48.889,-46.936,208.313
0.071,0.266,0.870,-73.547,-40.710,190.979
0.053,0.318,0.868,-88.013,-40.588,164.734
0.032,0.199,1.059,-75.500,-54.504,136.047
0.004,0.080,1.137,-56.274,-55.847,111.206
-0.030,-0.042,1.140,-40.955,-47.668,90.820
-0.073,-0.083,1.104,-30.518,-37.964,76.172
-0.103,-0.091,1.123,-17.639,-31.982,64.087
-0.108,-0.155,1.055,-9.033,-23.804,50.537
-0.101,-0.208,1.022,-4.700,-17.456,38.330
-0.076,-0.251,1.045,-3.723,-15.625,27.405
-0.051,-0.247,1.047,-2.686,-12.573,18.799
-0.035,-0.288,1.015,-0.793,-9.399,10.803
-0.012,-0.322,0.997,-0.732,-5.798,5.005
-0.005,-0.311,1.011,-0.183,-4.944,2.441
-0.015,-0.305,1.007,0.977,-3.845,0.000
-0.015,-0.356,0.964,1.892,-1.953,-2.686
-0.010,-0.385,0.971,0.793,-2.441,-3.601
-0.014,-0.363,1.002,0.427,-4.211,-1.770
-0.022,-0.337,0.995,1.709,-4.272,-0.732
-0.040,-0.324,0.983,3.601,-4.089,-0.977
-0.043,-0.347,0.974,3.601,-4.333,-2.197
-0.036,-0.375,0.972,2.869,-4.211,-3.662
-0.032,-0.391,0.982,1.892,-4.761,-3.601
-0.041,-0.364,1.005,0.916,-4.761,-2.686
-0.048,-0.339,1.000,0.854,-3.540,-1.770
-0.052,-0.339,0.968,1.465,-1.343,-2.502
-0.046,-0.348,0.968,2.136,-1.221,-3.601
-0.044,-0.353,0.970,3.357,-1.709,-4.211
-0.045,-0.334,0.985,4.578,-1.465,-4.089
